A股代码,A股简称,A股上市日期
600516,方大炭素,8/30/2002
600517,置信电气,10/10/2003
600518,康美药业,3/19/2001
600519,贵州茅台,8/27/2001
600520,*ST中发,1/8/2002
600521,华海药业,3/4/2003
600522,中天科技,10/24/2002
600523,贵航股份,12/27/2001
600525,长园集团,12/2/2002
600526,菲达环保,7/22/2002
600527,江南高纤,11/27/2003
600528,中铁二局,5/28/2001
600529,山东药玻,6/3/2002
600530,交大昂立,7/2/2001
600531,豫光金铅,7/30/2002
600532,宏达矿业,10/31/2002
600533,栖霞建设,3/28/2002
600535,天士力,8/23/2002
600536,中国软件,5/17/2002
600537,亿晶光电,1/23/2003
600538,国发股份,1/14/2003
600539,ST狮头,8/24/2001
600540,新赛股份,1/7/2004
600543,莫高股份,3/24/2004
600545,新疆城建,12/3/2003
600546,*ST山煤,7/31/2003
600547,山东黄金,8/28/2003
600548,深高速,12/25/2001
600549,厦门钨业,11/7/2002
600550,保变电气,2/28/2001
600551,时代出版,9/5/2002
600552,凯盛科技,11/8/2002
600555,海航创新,3/28/2001
600556,ST慧球,8/7/2001
600557,康缘药业,9/18/2002
600558,大西洋,2/27/2001
600559,老白干酒,10/29/2002
600560,金自天正,9/19/2002
600561,江西长运,7/16/2002
600562,国睿科技,1/28/2003
600563,法拉电子,12/10/2002
600565,迪马股份,7/23/2002
600566,济川药业,8/22/2001
600567,山鹰纸业,12/18/2001
600568,中珠医疗,5/18/2001
600569,安阳钢铁,8/20/2001
600570,恒生电子,12/16/2003
600571,信雅达,11/1/2002
600572,康恩贝,4/12/2004
600573,惠泉啤酒,2/26/2003
600575,皖江物流,3/28/2003
600576,万家文化,2/20/2003
600577,精达股份,9/11/2002
600578,京能电力,5/10/2002
600579,天华院,8/9/2002
600580,卧龙电气,6/6/2002
600581,*ST八钢,8/16/2002
600582,天地科技,5/15/2002
600583,海油工程,2/5/2002
600584,长电科技,6/3/2003
600585,海螺水泥,2/7/2002
600586,金晶科技,8/15/2002
600587,新华医疗,9/27/2002
600588,用友网络,5/18/2001
600589,广东榕泰,6/12/2001
600590,泰豪科技,7/3/2002
600592,龙溪股份,8/5/2002
600593,大连圣亚,7/11/2002
600594,益佰制药,3/23/2004
600595,中孚实业,6/26/2002
600596,新安股份,9/6/2001
600597,光明乳业,8/28/2002
600598,北大荒,3/29/2002
600599,熊猫金控,8/28/2001
600600,青岛啤酒,8/27/1993
600601,方正科技,12/19/1990
600602,云赛智联,12/19/1990
600603,*ST兴业,1/13/1992
600604,市北高新,3/27/1992
600605,汇通能源,3/27/1992
600606,绿地控股,3/27/1992
600608,上海科技,3/27/1992
600609,金杯汽车,7/24/1992
600610,中毅达,8/5/1992
600611,大众交通,8/7/1992
600612,老凤祥,8/14/1992
600613,神奇制药,8/20/1992
600614,鼎立股份,8/28/1992
600615,丰华股份,9/10/1992
600616,金枫酒业,9/29/1992
600617,国新能源,10/13/1992
600618,氯碱化工,11/13/1992
600619,海立股份,11/13/1992
600620,天宸股份,11/17/1992
600621,华鑫股份,12/2/1992
600622,嘉宝集团,12/3/1992
600623,华谊集团,12/4/1992
600624,复旦复华,1/5/1993
600626,申达股份,1/7/1993
600628,新世界,1/9/1993
600629,华建集团,2/9/1993
600630,龙头股份,2/9/1993
600633,浙报传媒,3/4/1993
600634,中技控股,3/4/1993
600635,大众公用,3/4/1993
600636,三爱富,3/16/1993
600637,东方明珠,3/16/1993
600638,新黄浦,3/26/1993
600639,浦东金桥,3/26/1993
600640,号百控股,4/7/1993
600641,万业企业,4/7/1993
600642,申能股份,4/16/1993
600643,爱建集团,4/26/1993
600644,乐山电力,4/26/1993
600645,中源协和,5/4/1993
600647,同达创业,5/4/1993
600648,外高桥,5/4/1993
600649,城投控股,5/18/1993
600650,锦江投资,6/7/1993
600651,飞乐音响,9/26/1986
600652,游久游戏,12/19/1990
600653,申华控股,12/19/1990
600654,中安消,12/19/1990
600655,豫园商城,9/2/1992
600657,信达地产,5/24/1993
600658,电子城,5/24/1993
600660,福耀玻璃,6/10/1993
600661,新南洋,6/14/1993
600662,强生控股,6/14/1993
600663,陆家嘴,6/28/1993
600664,哈药股份,6/29/1993
600665,天地源,7/9/1993
600666,奥瑞德,7/12/1993
600667,太极实业,7/28/1993
600668,尖峰集团,7/28/1993
600671,天目药业,8/23/1993
600673,东阳光科,9/17/1993
600674,川投能源,9/24/1993
600675,*ST中企,9/24/1993
600676,交运股份,9/28/1993
600677,航天通信,9/28/1993
600678,四川金顶,10/8/1993
600679,上海凤凰,10/8/1993
600680,上海普天,10/18/1993
600681,百川能源,10/18/1993
600682,南京新百,10/18/1993
600683,京投发展,10/25/1993
600684,珠江实业,10/28/1993
600685,中船防务,10/28/1993
600686,金龙汽车,11/8/1993
600687,刚泰控股,11/8/1993
600688,上海石化,11/8/1993
600689,上海三毛,11/8/1993
600690,青岛海尔,11/19/1993
600691,阳煤化工,11/19/1993
600692,亚通股份,11/19/1993
600693,东百集团,11/22/1993
600694,大商股份,11/22/1993
600695,绿庭投资,11/22/1993
600696,匹凸匹,12/6/1993
600697,欧亚集团,12/6/1993
600698,湖南天雁,12/6/1993
600699,均胜电子,12/6/1993
600701,*ST工新,5/28/1996
600702,沱牌舍得,5/24/1996
600703,三安光电,5/28/1996
600704,物产中大,6/6/1996
600705,中航资本,5/16/1996
600706,曲江文旅,5/16/1996
600707,彩虹股份,5/20/1996
600708,光明地产,6/6/1996
600711,盛屯矿业,5/31/1996
600712,南宁百货,6/26/1996
600713,南京医药,7/1/1996
600714,金瑞矿业,6/6/1996
600715,文投控股,7/1/1996
600716,凤凰股份,7/2/1996
600717,天津港,6/14/1996
600718,东软集团,6/18/1996
600719,大连热电,7/16/1996
600720,祁连山,7/16/1996
600721,*ST百花,6/26/1996
600722,金牛化工,6/26/1996
600723,首商股份,7/16/1996
600724,宁波富达,7/16/1996
600725,*ST云维,7/2/1996
600726,华电能源,7/1/1996
600727,鲁北化工,7/2/1996
600728,佳都科技,7/16/1996
600729,重庆百货,7/2/1996
600730,中国高科,7/26/1996
