A股代码,A股简称,A股上市日期
000672,上峰水泥,1996-12-18
000673,当代东方,1997-01-24
000676,智度股份,1996-12-24
000677,恒天海龙,1996-12-26
000678,襄阳轴承,1997-01-06
000679,大连友谊,1997-01-24
000680,山推股份,1997-01-22
000681,视觉中国,1997-01-21
000682,东方电子,1997-01-21
000683,远兴能源,1997-01-31
000685,中山公用,1997-01-23
000686,东北证券,1997-02-27
000687,华讯方舟,1997-02-21
000688,建新矿业,1997-01-20
000690,宝新能源,1997-01-28
000691,ST亚太,1997-02-28
000692,惠天热电,1997-02-27
000693,*ST华泽,1997-02-26
000695,滨海能源,1997-02-18
000697,炼石有色,1997-03-25
000698,沈阳化工,1997-02-20
000700,模塑科技,1997-02-28
000701,厦门信达,1997-02-26
000702,正虹科技,1997-03-18
000703,恒逸石化,1997-03-28
000705,浙江震元,1997-04-10
000707,双环科技,1997-04-15
000708,大冶特钢,1997-03-26
000709,河钢股份,1997-04-16
000710,贝瑞基因,1997-04-22
000711,京蓝科技,1997-04-11
000712,锦龙股份,1997-04-15
000713,丰乐种业,1997-04-22
000715,中兴商业,1997-05-08
000716,黑芝麻,1997-04-18
000717,韶钢松山,1997-05-08
000718,苏宁环球,1997-04-08
000719,大地传媒,1997-03-31
000720,新能泰山,1997-05-09
000721,西安饮食,1997-04-30
000722,湖南发展,1997-05-22
000723,美锦能源,1997-05-15
000725,京东方Ａ,2001-01-12
000726,鲁泰Ａ,2000-12-25
000727,华东科技,1997-05-20
000728,国元证券,1997-06-16
000729,燕京啤酒,1997-07-16
000731,四川美丰,1997-06-17
000732,泰禾集团,1997-07-04
000733,振华科技,1997-07-03
000735,罗 牛 山,1997-06-11
000736,中房地产,1997-04-25
000737,南风化工,1997-04-28
000738,航发控制,1997-06-26
000739,普洛药业,1997-05-09
000750,国海证券,1997-07-09
000751,锌业股份,1997-06-26
000752,西藏发展,1997-06-25
000753,漳州发展,1997-06-26
000755,*ST三维,1997-06-27
000756,新华制药,1997-08-06
000757,浩物股份,1997-06-27
000758,中色股份,1997-04-16
000759,中百集团,1997-05-19
000760,斯太尔,1997-06-27
000761,本钢板材,1998-01-15
